,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995
!,29,33.0,34.0,59.0,83.0,105.0,165.0,417.0,456.0,278.0
"""",26,21.0,29.0,33.0,34.0,29.0,46.0,120.0,139.0,86.0
#,4,4.0,2.0,1.0,,1.0,3.0,10.0,11.0,8.0
&,7,8.0,12.0,17.0,20.0,19.0,17.0,24.0,33.0,36.0
',52,64.0,65.0,70.0,77.0,86.0,94.0,186.0,224.0,503.0
(,29,63.0,75.0,72.0,105.0,154.0,194.0,283.0,655.0,1043.0
),32,55.0,62.0,62.0,101.0,137.0,162.0,235.0,386.0,588.0
*,35,42.0,42.0,47.0,48.0,40.0,43.0,103.0,131.0,117.0
",",1159,1706.0,2499.0,2974.0,3451.0,3809.0,4511.0,6877.0,8234.0,8985.0
-,47,58.0,74.0,109.0,237.0,350.0,460.0,1001.0,1386.0,1319.0
.,1383,2009.0,2617.0,2685.0,3372.0,4849.0,6051.0,10362.0,12948.0,12545.0
....,3,1.0,,1.0,4.0,3.0,2.0,3.0,2.0,4.0
.1,1,1.0,,,,,1.0,3.0,7.0,6.0
.96,1,,,,,,,,,
/,9,17.0,33.0,66.0,135.0,222.0,390.0,730.0,779.0,640.0
0,1,2.0,3.0,2.0,1.0,4.0,4.0,10.0,8.0,10.0
000,3,2.0,4.0,6.0,4.0,3.0,1.0,6.0,5.0,
03,4,7.0,5.0,1.0,,,,4.0,5.0,1.0
06,1,,,,,,,,1.0,1.0
08,1,,,,,,,1.0,1.0,
1,30,42.0,60.0,64.0,70.0,122.0,126.0,152.0,117.0,113.0
1.,2,4.0,10.0,12.0,16.0,17.0,26.0,37.0,21.0,15.0
11,2,1.0,2.0,3.0,4.0,6.0,7.0,6.0,10.0,13.0
11.,1,2.0,1.0,1.0,2.0,2.0,3.0,,1.0,4.0
11907,1,,,,,,,,,
12,2,1.0,1.0,,17.0,15.0,15.0,3.0,5.0,6.0
125,1,,,,,,,,,
126,1,,,,,,,,,
13.,1,,,1.0,1.0,,,1.0,5.0,5.0
14,5,6.0,2.0,1.0,,2.0,7.0,5.0,4.0,11.0
15,2,12.0,12.0,10.0,2.0,2.0,2.0,5.0,9.0,16.0
15.,1,,,,,,2.0,4.0,3.0,4.0
150,1,,,,,,,2.0,3.0,2.0
16,1,,,2.0,4.0,3.0,2.0,6.0,7.0,6.0
16.,1,,,,1.0,1.0,1.0,1.0,1.0,1.0
17,2,2.0,2.0,2.0,1.0,1.0,3.0,8.0,7.0,7.0
"170,0",1,,,,,,,,,
17341,1,1.0,,,,,,,,
18,1,1.0,1.0,1.0,1.0,2.0,5.0,13.0,11.0,8.0
19,2,7.0,8.0,4.0,4.0,3.0,6.0,9.0,7.0,7.0
19.,1,1.0,1.0,,1.0,1.0,,4.0,3.0,1.0
1919,2,2.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0
1930,1,1.0,3.0,4.0,4.0,2.0,,1.0,1.0,
1931,2,3.0,1.0,,,,,1.0,,1.0
1931.,1,,,,,,,,,
1934,1,2.0,2.0,,,,,1.0,1.0,
1935,1,,,,,,,,,
1940,1,,,,,1.0,,,,
1943,2,2.0,2.0,1.0,,1.0,1.0,,,
1946,1,1.0,1.0,,,,,,1.0,1.0
1950,1,1.0,,,,,1.0,1.0,2.0,1.0
1951,1,1.0,1.0,,,,,,,
1952,1,,,,,,,,,2.0
1955,1,1.0,,1.0,1.0,,1.0,,,
1957.,1,1.0,,,,,,,,
1959,1,2.0,2.0,2.0,2.0,1.0,,,3.0,3.0
1984,2,1.0,,,,6.0,5.0,2.0,2.0,1.0
2,2,1.0,4.0,5.0,10.0,12.0,42.0,88.0,107.0,90.0
2.,2,3.0,3.0,9.0,29.0,31.0,25.0,17.0,13.0,7.0
20,1,6.0,7.0,5.0,1.0,11.0,19.0,30.0,37.0,25.0
22,1,2.0,1.0,1.0,2.0,2.0,4.0,16.0,29.0,21.0
2229,1,,,,,,,,,
23.,1,,,1.0,1.0,2.0,4.0,5.0,4.0,4.0
243,1,,,,,,,,,
244,1,,,,,,,,,
250.,1,,,,,,,,,
250.00,2,,,,,,,,,
280,1,,,,,,,,,
"280,000",2,,,,,,,,,
3,1,8.0,13.0,11.0,8.0,17.0,23.0,28.0,47.0,30.0
3.,2,4.0,4.0,4.0,8.0,8.0,8.0,13.0,14.0,6.0
30,6,4.0,6.0,5.0,2.0,8.0,13.0,18.0,14.0,15.0
3103.,1,1.0,1.0,,,,,,,
32,3,3.0,,3.0,3.0,6.0,3.0,4.0,4.0,6.0
32.10,1,1.0,,,,,,,,
33,1,1.0,2.0,2.0,2.0,,,,4.0,5.0
35,1,1.0,,4.0,6.0,2.0,1.0,4.0,7.0,4.0
36,2,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0
37,1,1.0,1.0,,,,,1.0,,4.0
4,3,3.0,4.0,3.0,3.0,7.0,20.0,36.0,31.0,16.0
4.,8,3.0,2.0,1.0,,,2.0,8.0,7.0,4.0
40,2,4.0,3.0,2.0,3.0,4.0,9.0,9.0,9.0,11.0
"40,000",3,,,,,,,,,
40000,1,,,,,,,,,
48.,1,,,,,,,,,
5,4,6.0,5.0,4.0,3.0,5.0,43.0,32.0,19.0,11.0
5.,2,1.0,3.0,3.0,,,5.0,6.0,6.0,6.0
50,1,4.0,6.0,7.0,5.0,11.0,8.0,6.0,10.0,20.0
6,1,6.0,6.0,5.0,5.0,5.0,10.0,16.0,12.0,26.0
6.,1,1.0,,,2.0,2.0,2.0,5.0,8.0,5.0
60,1,,2.0,2.0,1.0,4.0,3.0,3.0,9.0,12.0
7,1,4.0,3.0,1.0,5.0,12.0,10.0,18.0,20.0,14.0
70,1,,1.0,3.0,3.0,5.0,5.0,4.0,5.0,8.0
7000,1,1.0,,,,,,,,
75,1,1.0,,,,1.0,1.0,4.0,3.0,1.0
8,1,2.0,3.0,3.0,4.0,6.0,6.0,5.0,10.0,12.0
8.,4,3.0,,1.0,5.0,7.0,4.0,5.0,6.0,2.0
9,3,1.0,3.0,5.0,9.0,12.0,17.0,35.0,25.0,1019.0
9411,1,1.0,,,,,,,,
954,1,,,,,,,,,
96,7,,1.0,1.0,,,,,1.0,1.0
975,1,,,,,,,,,
:,68,118.0,132.0,163.0,230.0,364.0,426.0,662.0,802.0,883.0
;,20,29.0,29.0,22.0,28.0,36.0,53.0,77.0,101.0,101.0
<,17,15.0,9.0,20.0,29.0,22.0,19.0,27.0,39.0,30.0
=,2,2.0,1.0,2.0,1.0,2.0,5.0,5.0,5.0,4.0
>,19,20.0,19.0,15.0,21.0,22.0,24.0,48.0,52.0,43.0
?,49,68.0,99.0,124.0,206.0,366.0,380.0,719.0,766.0,653.0
A,8,9.0,10.0,13.0,22.0,26.0,29.0,36.0,44.0,34.0
A-pakt-,1,,,,,,,,,
A.,1,1.0,,,,,,,,
A.U,1,,,,,,,,,
A.s,1,2.0,1.0,,,,,,,
A/S,1,1.0,,,1.0,1.0,1.0,2.0,2.0,1.0
AKKO,1,1.0,1.0,,,,,,,
ALLE,5,5.0,,,,,1.0,1.0,,1.0
AP,3,3.0,3.0,1.0,1.0,1.0,1.0,2.0,,
APs,1,1.0,1.0,,,1.0,1.0,1.0,1.0,
AV,1,3.0,5.0,6.0,4.0,7.0,7.0,6.0,5.0,3.0
Aakermann,1,,,,,,,,,
Aas,1,1.0,1.0,1.0,,,,3.0,,1.0
Aasen,1,1.0,,,,,,5.0,6.0,1.0
Aasmund,1,1.0,,,,,1.0,1.0,2.0,2.0
Abonneme,1,,,,,,,,,
Abonnent,1,,,,,,,,,
Adler,1,,,,,,,,,
Administrasjon,1,,,,,,,2.0,,
Adolf,1,1.0,,,,,1.0,1.0,,
Adsjubej,4,4.0,,,,,,,,
Afrika,1,1.0,1.0,1.0,1.0,,,4.0,3.0,
Aftenblad,3,2.0,,,1.0,4.0,8.0,7.0,9.0,6.0
Aftenbladets,3,1.0,,1.0,3.0,3.0,2.0,3.0,3.0,5.0
Aftenposten,9,7.0,8.0,12.0,22.0,23.0,30.0,43.0,27.0,13.0
Aftenpostens,3,1.0,2.0,6.0,11.0,16.0,35.0,35.0,21.0,6.0
Akademisk,2,2.0,2.0,,,,,,,
Akhilles,1,1.0,,,,,,,,
Aktiv,1,1.0,,,1.0,4.0,3.0,2.0,2.0,1.0
Aktuelle,1,,,,,1.0,5.0,3.0,3.0,3.0
Albert,1,2.0,1.0,1.0,1.0,,3.0,3.0,4.0,3.0
Alder,1,1.0,1.0,,,,,2.0,1.0,
Aldri,1,2.0,2.0,1.0,,1.0,1.0,,2.0,2.0
Alfred,1,,,,,2.0,3.0,2.0,1.0,
Alle,3,1.0,3.0,8.0,15.0,20.0,17.0,20.0,18.0,25.0
Allikevel,2,,,,1.0,1.0,1.0,1.0,,
Alliksvel,1,,,,,,,,,
Allirevel,1,,,,,,,,,
Alt,1,2.0,1.0,1.0,3.0,6.0,5.0,11.0,9.0,12.0
Altfor,1,,,,,,,,1.0,5.0
Amerika,5,8.0,9.0,7.0,2.0,2.0,6.0,6.0,2.0,1.0
Amerikansk,3,2.0,6.0,6.0,3.0,2.0,5.0,2.0,4.0,2.0
Amerikas,1,,,,,,,,,
Amhurst,2,2.0,,,,,,,,
Amiche,1,1.0,,,,,,,,
Amundsen,1,1.0,,,1.0,1.0,,,,1.0
Anders,1,2.0,1.0,1.0,1.0,4.0,4.0,3.0,7.0,8.0
Andre,8,9.0,13.0,7.0,3.0,2.0,10.0,14.0,14.0,13.0
Andreassen,1,,,1.0,1.0,,1.0,1.0,5.0,12.0
Angelsen,1,1.0,1.0,,,,,,,
Anlegg,1,1.0,1.0,1.0,1.0,,,,,
Ansokning,1,1.0,1.0,,,,,,,
Ansøkning,1,,,,,,,,,
Apaktpressen,1,,,,,,,,,
Apent,1,1.0,,,,,,,,
Ar,1,2.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0
Arbeider-Avisa,1,,3.0,3.0,2.0,2.0,2.0,2.0,1.0,
Arbeiderbladet,5,7.0,7.0,6.0,8.0,12.0,20.0,29.0,22.0,3.0
Arbeiderbladets,9,6.0,3.0,4.0,8.0,6.0,5.0,16.0,14.0,2.0
Arbeidernes,1,,,,1.0,1.0,1.0,1.0,,
Arne,2,10.0,9.0,1.0,2.0,7.0,19.0,33.0,28.0,14.0
Arthur,1,,,,,1.0,,,,
Artikkelen,1,2.0,1.0,1.0,2.0,1.0,,9.0,9.0,4.0
Arts,1,1.0,,,2.0,2.0,,7.0,7.0,6.0
As,1,,,,,,,,,1.0
Aschehoug,1,1.0,,1.0,1.0,,,1.0,1.0,1.0
Asen,1,1.0,,,,,,1.0,1.0,
Astrid,2,2.0,,,,,3.0,3.0,,
At,5,4.0,5.0,8.0,13.0,25.0,37.0,44.0,43.0,35.0
Atter,1,,,,,,,,,1.0
Auman,1,,,,,,,,,
Av,4,6.0,8.0,12.0,25.0,35.0,39.0,65.0,75.0,65.0
Avgjerd,1,1.0,,,,,,,,
Avisarbeid,1,4.0,3.0,,,,,,,
Avisen,2,2.0,4.0,5.0,2.0,10.0,14.0,15.0,19.0,23.0
Avisglæde,1,,,,,,,,,
Avstemningsresultatet,1,1.0,,,,,,,,
Axel,1,2.0,3.0,1.0,,1.0,1.0,1.0,1.0,2.0
B,6,9.0,5.0,3.0,5.0,7.0,7.0,16.0,13.0,16.0
