,100-1- -a,245-1-0-a,260- - -c,653- - -a,lang,year,245-1-3-a,245-1-0-b,245-1-3-b
2011101705021.0,"Eriksen, Endre Lund",Pitbull-Terje på sporet av den tapte far,2010,"angst, barnebøker, barnelitteratur, fedre, forelskelse, mødre, norsk, ungdomsbøker, vennskap",nob,2010.0,,,
2011101706024.0,"Alvestad, Iselin B.",Absalons krigere,2010,"barnebøker, fantastisk, litteratur, ungdomsbøker",nob,2010.0,,,
2011102106072.0,"Loe, Erlend",Kurt kurér,2010,"barnebøker, barnelitteratur, nonsens, nord-norge, norsk",nob,2010.0,,,
2011110906038.0,"Vatle, Sylvelin",Ramna-Floke,2010,"barnebøker, historie, island, ungdomsbøker, vikingetiden",nno,2010.0,,,
2011121506018.0,"Nilsson, Moni",Pappaen med de store skoene,2010,"barnebøker, familie, forelskelse, skilsmisse, søskenfedre, vennskap",nob,2010.0,,,
2012012306018.0,"Berggren, Arne",Ute av tiden,cop. 2011,"barnebøker, barnelitteratur, norsk, spenningslitteratur, spøkelser",nob,2011.0,,,
2012031206054.0,"Klepp, Anneli",Jul eller aldri!,2010,"akseptering, barnebøker, klassemiljø, seg, selv, søsken",nob,2010.0,,,
2012031206112.0,"Hagerup, Linde",Get used to it :,2010,"barnebøker, elever, klassemiljø, lærere, ungdomsbøker, ungdomsmiljø, ungdomsskolen, vennskap",nob,2010.0,,roman,
2012110108099.0,"Sareen, Manu",Iqbal Farooq og det grønne julemonsteret,cop. 2010,"barnebøker, flerkulturell, humor, kulturforskjeller, kulturmøter",nob,2010.0,,,
2012111508202.0,"Gotthardt, Peter",,2011,"barnebøker, fantastik, fantasy",nob,2011.0,En ukjent verden,,
2012112208126.0,"Thörnqvist, Mikael",Taklinger og tårer,2012,"barnebøker, fotball",nob,2012.0,,,
2012112908025.0,"Johansen, Eldrid",Jenta fra den andre siden,2012,"barnebøker, døden, grøssere, lettlest, sorg, spøkelser",nob,2012.0,,,
2012120408060.0,"Osborne, Mary Pope",Ettermiddag på Amazonas,2012,"amazonas, barnebøker",nob,2012.0,,,
2013010308282.0,"Freedman, Dan",Avspark ; Skyt på mål!,2010,"barnebøker, fotball, idrett, sport, ungdomsbøker, vennskap",nob,2010.0,,,
2013010408100.0,"Kaaberbøl, Lene",Viridians blod,2012,"barnebøker, fantastisk, hekser, litteratur, trolldom",nno,2012.0,,,
2013010808027.0,"Nicolaysen, Marit",Svein og rotta og monstertanna,2011,"barnebøker, humor, kjæledyr, rotter, tenner",nob,2011.0,,,
2013010808048.0,"Nilsson, Moni","Kyss, klapp og klem",2012,"barnebøker, besteforeldre, familien, forelskelse, vennskap",nob,2012.0,,,
2013010808150.0,"Sunne, Linn T.",Tyven på fjellet,2012,"barnebøker, lettlest, spenning",nob,2012.0,,,
2013010808160.0,"Kuhn, Camilla",Ryddetid,2012,"barnebøker, lettlest",nob,2012.0,,,
2013011607299.0,"Kuhn, Camilla",Jon og flua,2011,"barnebøker, barnelitteratur, lettlest, norsk",nob,2011.0,,,
2013013008171.0,"Nöstlinger, Christine",Frans blir detektiv,2011,"barnebøker, barnelitteratur, detektiv, leseløve, lettlest, norsk",nob,2011.0,,,
2013030608011.0,"Sortland, Bjørn",Stavanger-mysteriet,2010,"barn, barnebøker, kriminalroman, spenningslitteratur, stavanger",nob,2010.0,,,
2013030608079.0,"West, Jacqueline",Trollbundet,2012,"barnebøker, fantasy, spenning",nob,2012.0,,,
