,lemmet,magen,lårene,lungene,ankelen,fingrene,leppen,knærne,albuen,halsen,hånden,øyenbrynene,nakken,kjønnet,neglen,øynene,brystet,håret,rumpa,hjertet,tærne,øyet,øyenvippene,hjernen,brystene,tommelen,skuldrene,tåa,pannen,kuken,fingeren,kinnet,armen,låret,foten,hodet,leppene,leggene,munnen,tungen,leggen,hendene,nesen,kneet,neglene,grotten,ansiktet,skulderen,tåen,fitta,skjødet
som,0.15789473684210525,0.013192612137203167,0.005173688100517369,0.007334183673469388,0.0070126227208976155,0.014056822919768897,0.01209103840682788,0.0038804254096004597,0.002657218777679362,0.00883540558909367,0.013290768128216822,0.01732768579129765,0.00697350069735007,0.011235955056179775,0.003401360544217687,0.010738845440013732,0.013917434963885138,0.02102629776334991,0.007870916961826053,0.012782752120640905,0.006480218281036835,0.025976385104450498,0.017361111111111112,0.029168211593128168,0.02620689655172414,0.004677941705649514,0.009523103716604291,0.006230529595015576,0.009646514701024116,0.04,0.009259259259259259,0.006637404988759234,0.009535834136292654,0.01016260162601626,0.00783049286043298,0.00875264446011532,0.013096200485044462,0.013189448441247002,0.011458930152612115,0.012269938650306749,0.009666080843585237,0.013180949346925772,0.007740324594257179,0.015793251974156496,0.009290953545232274,0.016846361185983826,0.010929732950714274,0.004825432869713313,0.0,0.0,0.0
i,0.05263157894736842,0.01029023746701847,0.011086474501108648,0.00701530612244898,0.014025245441795231,0.03680981595092025,0.002844950213371266,0.01796493245185398,0.06643046944198405,0.003638108183744453,0.031581862010554435,0.015017327685791297,0.006508600650860065,0.0,0.006802721088435374,0.011908210228187055,0.0032297844852898,0.02346844566220925,0.048799685163321525,0.035049481621112155,0.041950886766712145,0.011262488646684832,0.017361111111111112,0.0128537881596836,0.001379310344827586,0.08384310903202591,0.002519731722681291,0.056074766355140186,0.010241162867525603,0.0,0.05843958712811172,0.003104592656032545,0.01358939429178988,0.006097560975609756,0.04495624136342699,0.025079852325050816,0.008326596604688763,0.007194244604316547,0.005911766237824887,0.013713460844460484,0.006151142355008787,0.06761707550175215,0.03870162297128589,0.04558506819813352,0.016625916870415647,0.014824797843665768,0.02737921625817378,0.0037373450657583497,0.09352517985611511,0.0,0.0
hvert,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2575412078962796e-05,0.0,0.00023245002324500232,0.0,0.0,2.1456234645382083e-05,0.00011744670855599271,2.9782291449504125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.296345459824948e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.568110896802622e-05,0.00023654082694673102,0.0,0.0,0.0
mitt,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033707865168539325,0.0,0.0,0.06171824534617417,0.06703993805283379,0.0,0.15922478793590952,0.0,0.029064486830154404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10309388716411519,0.0,0.09603658536585366,0.0,0.05148711992367362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1094759511844939,0.0,0.0,0.06471593671104421,0.0,0.0,0.0,0.0
-,0.05263157894736842,0.0044415127528584,0.0022172949002217295,0.004464285714285714,0.009817671809256662,0.0027398892131752935,0.004978662873399715,0.0033055475711411325,0.003985828166519044,0.0031583576540199095,0.002980650205225096,0.004235656526761648,0.00302185030218503,0.011235955056179775,0.006802721088435374,0.003218435196807312,0.005050208467907687,0.0036632218482890075,0.0015741833923652105,0.002827521206409048,0.007162346521145975,0.007084468664850136,0.013888888888888888,0.003089852923000865,0.0,0.0028787333573227778,0.0028532256271538146,0.003115264797507788,0.0030393128510075983,0.0,0.001973284760170006,0.0025693180601648645,0.00235903910688773,0.0040650406504065045,0.0031321971441731922,0.002953498983697681,0.003395311236863379,0.0,0.003359549976561279,0.00288704438830747,0.0035149384885764497,0.0022100987575661038,0.003995006242197253,0.002871500358937545,0.001466992665036675,0.007412398921832884,0.0034184817550297155,0.0026965654271927336,0.0,0.0,0.0
hans,0.15789473684210525,0.03509234828496042,0.03473762010347376,0.05931122448979592,0.05890603085553997,0.05586991482518316,0.016358463726884778,0.019689565967231964,0.038529672276350756,0.0797985047775157,0.06319629943318783,0.03157489410858683,0.06520223152022316,0.056179775280898875,0.01020408163265306,0.07145998948644502,0.10182629631804568,0.050570330881258,0.03856749311294766,0.066564561734213,0.02626193724420191,0.04977293369663942,0.059027777777777776,0.07699913484118157,0.0,0.023029866858582222,0.0357579575351095,0.012461059190031152,0.04426825239511067,0.0,0.03430479659987857,0.07140563108874853,0.07525667010000997,0.09044715447154472,0.031137724550898204,0.03724229476915419,0.10509296685529507,0.045563549160671464,0.053101724048127505,0.04294478527607362,0.08963093145869948,0.04362456196240841,0.04719101123595506,0.05671213208901651,0.019559902200488997,0.0,0.12850668799297485,0.10530797615668465,0.02158273381294964,0.0,0.0
på,0.05263157894736842,0.048328935795954264,0.011086474501108648,0.015306122448979591,0.01753155680224404,0.04610161415212342,0.002844950213371266,0.016527737855705663,0.025243578387953942,0.10146723703674089,0.06283796990031924,0.009626492106276472,0.0701999070199907,0.20224719101123595,0.1292517006802721,0.02264705566820079,0.06506547654001997,0.013878547815468921,0.051554506099960644,0.016729500471253534,0.020804911323328786,0.03033605812897366,0.010416666666666666,0.01582004696576443,0.008275862068965517,0.028067650233897085,0.010634750064846037,0.037383177570093455,0.009448298645523621,0.04,0.127959927140255,0.0054598008778503375,0.010532611223710004,0.02184959349593496,0.058406264394288344,0.06045546936574439,0.0037186742118027485,0.025179856115107913,0.07763425178394708,0.018404907975460124,0.016695957820738138,0.07731363491557822,0.060549313358302125,0.01722900215362527,0.03374083129584352,0.008086253369272238,0.02628153863041194,0.024600246002460024,0.1510791366906475,0.0,0.0
litt,0.05263157894736842,0.00030782761653474057,0.0007390983000739098,0.0,0.001402524544179523,0.00035737685389242954,0.0,0.0014371945961483186,0.0,0.00015991684324151442,0.00040719265098703496,0.0015402387370042356,0.0012784751278475128,0.0,0.0,0.0013624708999817622,0.00023489341711198543,0.0006849927033385949,0.0015741833923652105,0.000353440150801131,0.001364256480218281,0.00018165304268846503,0.0,0.0007415647015202076,0.002758620689655172,0.0,0.0010745914699670212,0.0,0.002642880740006607,0.0,0.0,0.0,0.0004319367378808519,0.0,0.0015660985720865961,0.003575724893184552,0.0008084074373484236,0.001199040767386091,0.0011198499921870931,0.0007217610970768675,0.0,0.0002588403950302644,0.0019975031210986267,0.0014357501794687725,0.0,0.0,0.0002352166345203933,4.73081653893462e-05,0.0,0.0,0.0
.,0.15789473684210525,0.2967458223394899,0.3288987435328899,0.23341836734693877,0.25666199158485276,0.1574840669485973,0.4260312944523471,0.27694739867778095,0.2971656333038087,0.28613121176987966,0.17212847742523943,0.42857142857142855,0.2962575546257555,0.07865168539325842,0.25510204081632654,0.25369851844699776,0.31416994538728055,0.17437531643684664,0.22943722943722944,0.12105325164938736,0.2281718963165075,0.24650317892824705,0.2152777777777778,0.12087504634779385,0.19448275862068964,0.17308384310903202,0.5025753140400934,0.2118380062305296,0.43918070697059797,0.32,0.14192471159684275,0.3322984691146558,0.19015184237631658,0.3165650406504065,0.13265776140027638,0.31497905172771395,0.20323362974939368,0.22062350119904076,0.2500651075576853,0.2327679538072898,0.30579964850615116,0.17210895189550812,0.2671660424469413,0.24694903086862885,0.11295843520782396,0.3618598382749326,0.2104718445688479,0.2771785410161794,0.19424460431654678,0.15789473684210525,0.0
av,0.05263157894736842,0.009938434476693053,0.004434589800443459,0.0031887755102040817,0.0021037868162692847,0.0033355173029960094,0.004978662873399715,0.0030181086519114686,0.0008857395925597874,0.0029584615999680166,0.001303016483158512,0.0007701193685021178,0.004532775453277545,0.011235955056179775,0.003401360544217687,0.003347172604679605,0.0029948910681778145,0.002144324984364297,0.0149547422274695,0.02432846371347785,0.0068212824010914054,0.0018165304268846503,0.0,0.00160672351996045,0.0,0.0003598416696653472,0.0024085670878571165,0.003115264797507788,0.003237528906508094,0.0,0.0024286581663630845,0.0024622631409913285,0.0021596836894042597,0.0040650406504065045,0.19723629663749423,0.00925872153316464,0.0009700889248181083,0.0035971223021582736,0.0026824313766342,0.00577408877661494,0.004393673110720563,0.002468939152596368,0.011111111111111112,0.0017946877243359654,0.0,0.0006738544474393531,0.006350849132050618,0.0017977102847951557,0.014388489208633094,0.0,0.0
