,håret,neglene,neglen,hendene,øynene,øyet,øyenvippene,øyenbrynene,ansiktet,pannen,hodet,halsen,nakken,skulderen,skuldrene,magen,brystet,brystene,fingrene,tommelen,ankelen,foten,tærne,tåen,tåa,rumpa,rumpen,lårene,leggene,knærne,kneet,armen,hånden,albuen,fingeren,lemmet,kjønnet
.,5855.0,231.0,75.0,8644.0,23648.0,1357.0,62.0,1113.0,13422.0,6647.0,37966.0,7157.0,2549.0,5859.0,13563.0,6748.0,5350.0,141.0,2644.0,481.0,366.0,1440.0,669.0,27.0,68.0,583.0,7.0,445.0,184.0,1927.0,688.0,5723.0,10568.0,671.0,935.0,3.0,7.0
",",2893.0,143.0,28.0,3125.0,8847.0,556.0,33.0,195.0,4970.0,1456.0,9798.0,2789.0,1034.0,1820.0,2358.0,2500.0,1999.0,62.0,1041.0,136.0,187.0,734.0,377.0,7.0,29.0,244.0,3.0,159.0,89.0,897.0,243.0,2127.0,4333.0,207.0,393.0,,10.0
hennes,2529.0,123.0,5.0,1438.0,4727.0,114.0,24.0,38.0,5533.0,378.0,3314.0,1190.0,354.0,1717.0,1131.0,738.0,669.0,144.0,693.0,24.0,75.0,233.0,57.0,1.0,3.0,100.0,,98.0,59.0,116.0,117.0,1553.0,3572.0,55.0,133.0,,2.0
mitt,2251.0,,,,,160.0,,,4127.0,,6206.0,,,,,,1051.0,,,,,,,,,,,,,,305.0,,,,,1.0,3.0
var,1168.0,48.0,6.0,251.0,1549.0,164.0,6.0,29.0,1071.0,75.0,400.0,174.0,52.0,44.0,58.0,176.0,81.0,10.0,93.0,7.0,11.0,67.0,23.0,4.0,3.0,3.0,,7.0,10.0,20.0,10.0,117.0,138.0,4.0,16.0,,
og,2800.0,93.0,14.0,3631.0,10942.0,323.0,29.0,275.0,3558.0,1849.0,12581.0,2383.0,1046.0,2210.0,3866.0,1847.0,1560.0,46.0,833.0,339.0,97.0,527.0,326.0,4.0,16.0,177.0,1.0,198.0,88.0,1159.0,238.0,3101.0,5428.0,315.0,336.0,1.0,4.0
hans,1698.0,40.0,3.0,2191.0,6661.0,274.0,17.0,82.0,8195.0,670.0,4489.0,1996.0,561.0,2226.0,965.0,798.0,1734.0,,938.0,64.0,84.0,338.0,77.0,3.0,4.0,98.0,,47.0,38.0,137.0,158.0,2265.0,3880.0,87.0,226.0,3.0,5.0
til,1143.0,46.0,7.0,1236.0,2799.0,193.0,10.0,47.0,4062.0,266.0,2831.0,869.0,298.0,1365.0,647.0,938.0,523.0,28.0,395.0,51.0,50.0,545.0,82.0,2.0,13.0,135.0,2.0,20.0,36.0,88.0,90.0,1747.0,2725.0,93.0,203.0,,6.0
ditt,580.0,,,,,83.0,,,594.0,,966.0,,,,,,52.0,,,,,,,,,,,,,,41.0,,,,,,4.0
i,788.0,34.0,2.0,3396.0,1110.0,62.0,5.0,39.0,1746.0,155.0,3023.0,91.0,56.0,79.0,68.0,234.0,55.0,1.0,618.0,233.0,20.0,488.0,123.0,13.0,18.0,124.0,,15.0,6.0,125.0,127.0,409.0,1939.0,150.0,385.0,1.0,
som,706.0,19.0,1.0,662.0,1001.0,143.0,5.0,45.0,697.0,146.0,1055.0,221.0,60.0,102.0,257.0,300.0,237.0,19.0,236.0,13.0,10.0,85.0,19.0,,2.0,20.0,,7.0,11.0,27.0,44.0,287.0,816.0,6.0,61.0,3.0,1.0
på,466.0,69.0,38.0,3883.0,2111.0,167.0,3.0,25.0,1676.0,143.0,7287.0,2538.0,604.0,520.0,287.0,1099.0,1108.0,6.0,774.0,78.0,25.0,634.0,61.0,21.0,12.0,131.0,1.0,15.0,21.0,115.0,48.0,317.0,3858.0,57.0,843.0,1.0,18.0
hver,25.0,,,3.0,30.0,4.0,,,17.0,1.0,23.0,3.0,3.0,4.0,,40.0,9.0,,7.0,,1.0,1.0,1.0,1.0,,1.0,,,2.0,3.0,3.0,3.0,12.0,,1.0,,
sitt,916.0,,,,,96.0,,,811.0,,1353.0,,,,,,288.0,,,,,,,,,,,,,,100.0,,,,,1.0,
er,413.0,17.0,2.0,102.0,511.0,53.0,1.0,8.0,350.0,31.0,188.0,89.0,20.0,14.0,17.0,114.0,28.0,6.0,47.0,12.0,4.0,48.0,17.0,1.0,2.0,12.0,,5.0,3.0,7.0,8.0,37.0,49.0,3.0,8.0,,
»,15.0,,1.0,15.0,24.0,11.0,,,11.0,3.0,48.0,15.0,4.0,1.0,3.0,29.0,4.0,1.0,3.0,2.0,,5.0,2.0,,,2.0,,,,2.0,,6.0,16.0,2.0,7.0,,2.0
for,126.0,17.0,1.0,1233.0,708.0,32.0,,6.0,248.0,61.0,1468.0,170.0,102.0,258.0,107.0,100.0,81.0,2.0,278.0,21.0,6.0,118.0,96.0,,,24.0,,12.0,2.0,103.0,14.0,459.0,1413.0,38.0,63.0,,
ble,53.0,3.0,2.0,41.0,428.0,13.0,,10.0,178.0,25.0,96.0,49.0,9.0,8.0,8.0,60.0,25.0,4.0,40.0,1.0,,16.0,4.0,1.0,,1.0,,1.0,2.0,10.0,,36.0,34.0,,5.0,,
vekk,364.0,,,82.0,120.0,1.0,,,46.0,1.0,109.0,,,2.0,,,,,13.0,,,9.0,,,,,,,,2.0,2.0,27.0,105.0,1.0,9.0,,
oppsatt,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
også,41.0,1.0,,29.0,57.0,12.0,,,59.0,6.0,69.0,25.0,7.0,6.0,10.0,13.0,13.0,,9.0,,6.0,13.0,6.0,,3.0,5.0,,4.0,4.0,5.0,3.0,18.0,38.0,1.0,1.0,,
ordentlig,5.0,,,6.0,8.0,1.0,,,5.0,,3.0,,,,,,,,,,,3.0,,,,,,,,,1.0,2.0,,1.0,,,
