,100-1- -a,245-1-0-a,260- - -c,653- - -a,lang,year,245-1-0-b,245-1-3-a,245-1-3-b
2011062708095,"Holm, Dagny",Zeppelin,2007,"grunnskolen, k06, lesebøker, lærebøker, mellomtrinnet, norsk",nno,2016,,,
2014111907535,"Holm, Dagny",Zeppelin,2007,"grunnskolen, k06, lesebøker, lærebøker, norsk",nno,2015,,,
2015090906138,"Daynes, Katie.",,2015,"barnebøker, drager, draker, lettlest",nno,2015,,,
2015091006002,"Punter, Russell.",,2015,"barnebøker, lettlest",nno,2015,,,
2015091006003,"Punter, Russell.",,2015,"barnebøker, katter, lettlest",nno,2015,,,
2015091006004,"Likar, Gudrun.",Prinsesse Fibi og draken,2015,"barnebøker, drager, draker, lettlest, prinsesser",nno,2015,,,
2015091006005,"Berge, Atle",Matias Maradona,2015,"barnebøker, fotball, lettlest",nno,2015,,,
2015091506021,"Muszynski, Eva",Cowboy-Claus og den prompande ponnien,2015,"barnebøker, lettlest",nno,2015,,,
2015091506022,"Mackinnon, Mairi.",Sola og vinden :,2015,"barnebøker, fabler, lettlest, æsop",nno,2015,basert på ein fabel av Æsop,,
2015091506023,"Heinlein, Sylvia",,2015,"barnebøker, lettlest",nno,2015,,,
2015091506024,"Markhus, Vegard",Epleslang,2015,"barnebøker, barnelitteratur, lettlest, norsk",nno,2015,,,
2015091506131,"Baltscheit, Martin.","Felline, professor Pål og kjemisettet",2015,,nno,2015,,,
2017111748095,"Sønnesyn, Gunvor",Abel,Cop. 2015,"grunnskole, lærebøker, matematikk",nno,2015,matematikk for grunnskulen,,
2017112048523,"Einarsen, Heidi Guttorm",,Cop. 2015,"geografi, grunnskole, k06, kunnskapsløftet, lærebøker, læreverk, samisk, språk",sme,2015,,,
2017112148519,"Sønnesyn, Gunvor",Abel,Cop. 2015,"grunnskolen, k13, kunnskapsløftetk06, lærebøker, læreplan, læreverk, matematikk, revidert",nob,2015,matematikk for grunnskolen,,
2017112148522,"Sønnesyn, Gunvor",Abel,Cop. 2015,"grunnskolen, k13, kunnskapsløftetk06, lærebøker, læreplan, læreverk, matematikk, revidert",nob,2015,matematikk for grunnskolen,,
2017112348581,"Sønnesyn, Gunvor",Abel,Cop. 2015,"grunnskole, lærebøker, matematikk",nno,2015,matematikk for grunnskulen,,
2017121808074,"Nesbø, Jo",Doktor Proktors tidsbadekar,2015,,nob,2015,,,
2017121908077,"Svingen, Vegard",Fredrik Fompel og tankemonstrene,cop. 2015,,nob,2015,,,
2018013048165,"Arvola, Ingeborg",Ryktet,2015,,nob,2015,,,
2018013048317,"Buchweitz, Donaldo.",Sjakk for barn,2015,,nob,2015,,,
2018013148155,"Scollon, Bill.",Doktor McStuffins,2015,,nob,2015,,,
2018020148018,"Ewo, Jon",Otto Monsters strandkaos,2015,"barnebøker, barnelitteratur, humor, lettlest, monstre, norsk",nob,2015,,,
2018020148076,"Drescher, Daniela",,cop. 2015,,nob,2015,,En midtsommernattsdrøm,
2018020148095,"Gordan, Kajsa",Kjelle i hundebarnehagen,2015,"barnehager, billedbøker, hunder",nob,2015,,,
2018020148157,"Stranger, Simon",Bestefar på rømmen,2015,"alzheimers, barnebarn, barnebøker, barnelitteratur, besteforeldre, billedbøker, demens, norsk, sykdom",nob,2015,,,
