,1
AA,6.0
AAA,1.0
AAAJOID,1.0
AAHH,0.3333333333333333
AAHRGH,1.0
AB,4.0
ABC,1.0
ACRES,1.0
ADAJOID,2.0
ADDE,2.0
ADELHEID,1.0
ADGANG,0.05263157894736842
ADHD,3.0
ADKOMST,1.0
ADOPTERT,0.14285714285714285
ADRIANA,1.0
ADVARSEL,0.23529411764705882
AFTEN,0.14285714285714285
AGaramond,1.0
AH,0.2222222222222222
AHAB,1.0
AIDS,0.25
AIT,1.0
AJO,4.0
AJOID,0.5
AJOLD,2.0
AJOiD,0.5
AJOlD,6.0
AJOlZ,2.0
AJS,1.0
AJkides,1.0
AJle,3.0
AJt,0.5
AJtså,1.0
AKKURAT,0.0012453300124533001
AKS,0.5
AKTIV,0.3
AKTIVERT,0.75
AKTIVITETER,0.18181818181818182
ALARM,0.3
ALEXANDER,1.0
ALICE,1.0
ALLER,0.007751937984496124
AM,0.14285714285714285
AMEN,0.14285714285714285
AMERIKANSKE,0.09090909090909091
AMkke,1.0
ANDERSSON,2.0
ANDRES,0.029411764705882353
ANDREW,160.0
ANDRZEJ,1.0
ANGRENDESYNDER,8.0
ANGÅENDE,0.08333333333333333
ANKE,0.5
ANNABEL,1.0
ANSIKT,0.006172839506172839
ANTIKVARIAT,0.3333333333333333
AOE,1.0
APAJOID,1.0
APERIAR,1.0
APOTEK,0.3333333333333333
APPARATUR,1.0
ARAJOID,9.0
ARAJOIZ,1.0
ARAJOLD,1.0
ARLENE,1.0
ARMS,1.0
ARRENE,0.047619047619047616
ARROGANSE,0.3333333333333333
ARTEFAKTER,0.5
ASAP,1.0
ASBEST,0.3333333333333333
ASHLAND,2.0
ASHLEY,25.0
ASKE,0.3
ASf,3.0
ATJEG,0.07692307692307693
ATTE,2.0
ATTEN,0.022727272727272728
AU,0.05263157894736842
AUDITORIET,0.06451612903225806
AUGUST,0.375
AUSTIN,1.0
AUlP,1.0
AVAJO,1.0
AVGJORT,0.16666666666666666
AVSKJEDSHILSEN,5.0
AVSLUTNINGEN,0.1111111111111111
AVSLØRT,0.05263157894736842
AWOLD,1.0
AZAJO,1.0
AZAJOID,5.0
AZAJOIZ,2.0
AZrhang,1.0
Aaah,3.0
Aaiabels,1.0
Aakeson,1.0
Aardns,1.0
Aaron,1759.0
Aarons,37.0
Aasebø,1.0
Aast,1.0
Abakus,2.0
Abbe,30.0
Abbey,2.0
Abdul,1.0
Abhey,1.0
Abigail,6.0
Abilitol,13.0
Abilitolen,2.0
Ability,1.0
Abonnementet,1.0
Abraham,2.0
Abramovic,2.0
Absolutt,0.2222222222222222
Abyssum,1.0
Academy,19.0
Accessorizes,1.0
Accord,1.0
Ace,6.0
