,100-1- -a,245-1-0-a,245-1-0-b,260- - -c,653- - -a,lang,year,245-1-3-a,245-1-3-b
2008020501046,"Øverås, Tor Eystein",Til :,en litterær reise,2005,"litteratur, norden, reiser, østersjølandene",nob,2005,,
2008020501049,"Ragde, Anne Birkefeldt",,,2005,,nob,2005,En kald dag i helvete,
2008111100112,"Ra, Pernille",,,cop. 2007,,nob,2007,,
2008120100079,"Schjerven, Torgeir",,,2006,"dikt, lyrikk, norsk, poesi",nob,2006,,
2009011500010,"Carmona-Alvarez, Pedro",Clown town ; Prinsens gate,,2005,,nob,2005,,
2009042204054,"Schreiner, Per",Tilbake til Tuengen allé :,radiodrama,2006,"2000-tallet, drama, hørespill, norske, skuespill",nob,2006,,
2009050800038,"Jensen, Ingelill Kruse",Ondskapens hjerte,,2008,,nob,2008,,
2009060400034,"Ingulstad, Frid",Høkeren,,2007,,nob,2007,,
2009060400047,"Ingulstad, Frid",Medmenneske,,2006,,nob,2006,,
2009060400049,"Kristiansen, Else Berit",Hemmeligheter,,2007,,nob,2007,,
2009060400050,"Kristiansen, Else Berit",Venn eller fiende?,,2007,,nob,2007,,
2009060504011,"Kristiansen, Else Berit",Ingen vei tilbake,,2008,,nob,2008,,
2009060504012,"Ingulstad, Frid",Ved din side,,2007,,nob,2007,,
2009060504031,"Ingulstad, Frid",Mor Hjertegod,,2007,,nob,2007,,
2009060904019,"Angell-Jacobsen, Rune",Farlig møte,,2005,,nob,2005,,
2009060904022,"Thorup, Torill",Tause vitner,,cop. 2007,,nob,2007,,
2009060904023,"Kyvik, Salmund",Uønsket ekteskap,,cop. 2007,,nob,2007,,
2009060904024,"Kyvik, Salmund",Farlige følelser,,cop. 2007,,nob,2007,,
2009060904026,"Ulvseth, Laila",Lengselens makt,,2006,,nob,2006,,
2009060904036,"Thorup, Torill",Livslenker,,cop. 2007,,nob,2007,,
2009061500007,"Rafaelsen, Ellinor",Gylne løfter,,2006,,nob,2006,,
2009061500021,"Persson, Leif G.W.",Linda - som i Lindadrapet,,2008,,nob,2008,,
2009061500024,"Kristiansen, Else Berit",Innhentet av fortiden,,2008,,nob,2008,,
2009061500040,"Kristiansen, Else Berit",Skjebneår,,2007,,nob,2007,,
2009061500043,"Johansen, Elin Brend",Natteflukt,,2006,,nob,2006,,
2009061500046,"Ingulstad, Frid",Gjengangere,,2006,,nob,2006,,
2009061500050,"Brenden, Laila",Brytningstid,,2006,,nob,2006,,
2009061500056,"Strøm, Hans Henrik",,,cop. 2006,,nob,2006,,
2009061500079,"Kristiansen, Else Berit",Blind tro,,2008,,nob,2008,,
2009061500080,"Lien, Merete",Flukt,,2007,,nob,2007,,
2009061500082,"Lien, Merete",Mannen fra skyggene,,2007,,nob,2007,,
2009061500084,"Mysen, Jane",Sølvharpen,,2005,,nob,2005,,
2009061501003,"Ingulstad, Frid",Gjøkungen,,2007,,nob,2007,,
2009061501009,"Angelsen, Trine",Hevnens engel,,2005,,nob,2005,,
2009061501011,"Brenden, Laila",Hjemkomsten,,2006,,nob,2006,,
2009061501012,"Kyvik, Salmund",Brannen,,cop. 2007,,nob,2007,,
2009061501015,"Steinslett, Kjellaug",Bare en mann,,2006,,nob,2006,,
2009061501034,"Kjus, Trine",Etter festen,,2007,,nob,2007,,
2009061501048,"Rafaelsen, Ellinor",Pelsjegeren,,cop. 2006,,nob,2006,,
2009061501051,"Steinslett, Kjellaug",,,2006,,nob,2006,En utro tjener,
2009061501060,"Borg, Saga",Volvens datter,,2005,,nob,2005,,
2009061600070,"Skattvik, Camilla J.J.",,,cop. 2007,,nob,2007,,
2009061600072,"Mysen, Jane",Gjestebud,,2007,,nob,2007,,
2009061600073,"Bertling, Berit",Sort diamant,,cop. 2005,,nob,2005,,
2009061600076,"Skattvik, Camilla J.J.","Tyven, tyven",,cop. 2007,,nob,2007,,
2009061600077,"Eriksen, Synnøve",Savnets by,,2007,,nob,2007,,
2009061600078,"Skattvik, Camilla J.J.",Identitet ukjent,,cop. 2007,,nob,2007,,
2009061604042,"Angelsen, Trine",Spådommen,,2005,,nob,2005,,
2009061701003,"Steinslett, Kjellaug",Inn i varmen,,2007,,nob,2007,,
2009061701004,"Steinslett, Kjellaug",Hevnen er søt,,2007,,nob,2007,,
2009061701011,"Steinslett, Kjellaug",På ville veier,,2005,,nob,2005,,
2009061701013,"Mysen, Jane",Vinterbarn,,2007,,nob,2007,,
2009061701060,"Ustad, Willy",Elvis Olsens åpenbaring,,2007,,nob,2007,,
2009061704002,"Skattvik, Camilla J.J.",Bill.mrk.,,cop. 2007,,nob,2007,,
2009061704003,"Eriksen, Synnøve",Vinterby,,2007,,nob,2007,,
2009061704016,"Indregard, Kjetil",Fotballkampen,,2005,"barnebøker, fotball",nob,2005,,
2009061704053,"Toverud, Hege Løvstad",Rivaler,,cop. 2007,,nob,2007,,
2009061800003,"Johansen, Elin Brend",Skjebnevalg,,2006,,nob,2006,,
2009061800005,"Brenden, Laila",Mellomspill,,2006,,nob,2006,,
2009061800006,"Kyvik, Salmund",Opprøret,,cop. 2007,,nob,2007,,
2009061800057,"Brenden, Laila",Forføreren,,cop. 2006,,nob,2006,,
2009061800068,"Gjersøe, Ann-Christin",Skjebnevinder,,2006,,nob,2006,,
2009061900021,"Angelsen, Trine",Hvite løgner,,2005,,nob,2005,,
2009061900024,"Angelsen, Trine",Jaget,,2005,,nob,2005,,
2009061900026,"Gjersøe, Ann-Christin",Jegerdans,,2006,,nob,2006,,
2009062200041,"Rafaelsen, Ellinor",Gjøkungen,,cop. 2005,,nob,2005,,
2009062200052,"Rafaelsen, Ellinor",Farlig seilas,,cop. 2005,,nob,2005,,
2009062200054,"Angell-Jacobsen, Rune",Frihetens pris,,2005,,nob,2005,,
2009062200055,"Thorup, Torill",Odelsdatteren,,2007,,nob,2007,,
2009062300021,"Lunde, Inger-Margrethe",Gi meg navnet mitt tilbake :,"om Laura Kieler, Nora og Ibsen : skuespill i tre scener",2006,"norsk, skjønnlitteratur, skodespel",nob,2006,,
2009062300024,"Angelsen, Trine",Farlig spill,,2006,,nob,2006,,
2009062300047,"Steinslett, Kjellaug",Rose blant tistler,,2006,,nob,2006,,
2009062300100,"Steinslett, Kjellaug",Aldri for sent,,2005,,nob,2005,,
2009062300103,"Thorup, Torill",Skjulte spor,,cop. 2007,,nob,2007,,
2009062300104,"Steinslett, Kjellaug",Stemmer i natten,,2005,,nob,2005,,
2009062300110,"Angelsen, Trine",Valgets kvaler,,2007,,nob,2007,,
2009062301059,"Aasprong, Monica",Soldatmarkedet :,dikt,2006,"2000-tallet, dikt, lyrikk, norsk",nob,2006,,
2009062304068,"Toverud, Hege Løvstad",Kvikksand,,cop. 2007,,nob,2007,,
2009062304070,"Söderholm, Margit",Arven fra Hellesta,,2006,,nob,2006,,
2009062304071,"Ingulstad, Frid",Jernbyrden,,2006,,nob,2006,,
2009062304073,"Angelsen, Trine",Fortielsens pris,,2005,,nob,2005,,
2009062400005,"Ustad, Willy",Sannhetens pris,,cop. 2005,,nob,2005,,
2009070300002,"Kristiansen, Else Berit",Lys i mørket,,2007,,nob,2007,,
2009070600085,"Dybvig, Ingeborg",Mareritt i Venezia,,2007,,nob,2007,,
2009070601082,"Angelsen, Trine",Flukt,,2007,,nob,2007,,
2009070601084,"Mathisen, Kamilla",Bak masken,,2008,,nob,2008,,
2009072900104,"Ingvaldsen, Bjørn",Jeg er super! :,Espen Herberts opptegnelser V,2006,"barnebøker, humor",nob,2006,,
2009072900105,"Klepp, Anneli",Lusne forviklinger,,2006,"barn, familien, humor, omsorgssvikt",nob,2006,,
2009072900128,"Nilsen, Ole-Mikal",Hvite hemmeligheter,,2005 [utsendt 2006],"barnebøker, familien, spenningslitteratur",nob,2005,,
2009081804065,"Kjus, Trine",Besettelse,,2007,,nob,2007,,
2009092504053,"Eidsfeldt, Anne",Norges kongesagaer fra middelalderen til i dag :,en bokhistorisk utstilling,2005,,nob,2005,,
2009093000103,"Rafaelsen, Ellinor",Portrettet,,cop. 2005,,nob,2005,,
2009093004018,"Ullmann, Linn",,,2005,"2000-tallet, barn, far, norsk, norske, prosa, romaner, skjønnlitteratur",nob,2005,Et velsignet barn :,roman
2009093004052,"Jungstedt, Mari",I den stille natt,,2005,,nob,2005,,
2009093004062,"Vonheim, Inger",Dette med Andreas :,roman,cop. 2006,"funksjonshemmede, kjærester, kjærlighet, lettlest, psykisk, selvbeskadigelse, selvskading, skjønnlitteratur",nob,2006,,
2009102100004,"Ottesen, Josefine",Sagaen om Sigurd,,2009,,nob,2009,,
2009102100005,"Ottesen, Josefine",Sagaen om Sigurd,,2009,,nob,2009,,
2009102104057,"Rishøi, Ingvild H.",La stå :,noveller,2007,"2000-tallet, barn, noveller, novellesamling, skjønnlitteratur",nob,2007,,
2009120200033,"Normann, Regine",Krabvaag :,skildringer fra et lidet fiskevær,2005,"lokalsamling, nordland",nob,2005,,
2009120300022,"Undset, Sigrid",Fru Marta Oulie,,2007,"litteratur, norsk",nob,2007,,
2010010703005,"Bjørnson, Bjørnstjerne",Synnøve Solbakken,,2007,,nob,2007,,
2010060820006,"Ibsen, Henrik",Brand,,2005,,nob,2005,,
2010081720018,"Ibsen, Henrik",Ibsens beste,,2005,,nob,2005,,
2010082310002,"Ibsen, Henrik",Ord av Ibsen,,2006,sitater,nob,2006,,
2010082422004,"Ferguson, Robert",Henrik Ibsen :,mellom evne og higen,2006,,nob,2006,,
2010083022002,"Ibsen, Henrik",,,2006,,nob,2006,Et dukkehjem og fire andre skuespil,
2011011203002,"Meinderts, Koos",Ballade om døden,,2010,,nob,2010,,
2011011903034,"Hovelsrud, Kjell Reidar",Isbjørnliv,,cop. 2008,"isbjørner, svalbard",nob,2008,,
2011011903038,"Sundman, Per Olof",Ingeniør Andrées luftferd,,2007,"arktis, ballogferder, nordpolen, polarekspedisjoner, polarferder",nob,2007,,
2011012003022,"Kristensen, Monica",Hollendergraven,,2007,"2000-tallet, fiction, krim, norske, romaner, svalbard",nob,2007,,
