,100-1- -a,245-1-0-a,260- - -c,653- - -a,lang,year,245-1-0-b,245-1-3-a,245-1-3-b
2009072900105,"Klepp, Anneli",Lusne forviklinger,2006,"barn, familien, humor, omsorgssvikt",nob,2006,,,
2011012103008,"Næss, Inga E.",Fangstmannsliv ; Bjørnson og Larsson,cop. 2007,"Arctic, Blåsebelgen, Halvmåneøya, fangst, fangststasjoner, history, hunting, overvintrere, overvintringer, svalbard, trapping",nob,2007,,,
2011021603045,"Houm, Nicolai",Når alle sover,2011,"biletbøker, billedbøker, monster, monstre",nob,2011,,,
2011022403004,"Green, Jen",Vincent van Gogh,cop. 2010,,nob,2010,,,
2011022403026,"Vea, Margit",Kjøkkenpatruljen :,2010,"barn, kokebøker, matlaging, oppskrifter, rogaland",nob,2010,barnas kokebok,,
2011032108106,"Wich, Henriette",5 ballongbra bursdagshistorier,cop. 2005,,nob,2005,,,
2011032408023,"Strøm, Johan-Arnt",Aksjonistene,cop. 2005,,nob,2005,,,
2011033003078,"Mason, Antony",Chagall,2005,"barnebøker, frankrike, malere, malerkunst",nob,2005,,,
2011040806130,"Johnsen, Kjetil",,2011,,nob,2011,,En morders ansikt,
2011052008090,"Montgomery, L.M.",Anne fra Bjørkely,2006,,nob,2006,,,
2011052008106,"Follestad, Hans Frederik",De fire og han som gjør galt verre,cop. 2005,"fantastisk, humor, litteratur, ungdomsbøker",nob,2005,,,
2011052008108,"Bergström, Gunilla",Albert Åberg og soldatpappaen,cop. 2006,"barnelitteratur, billedbøker, innvandrere, krig, svensk",nob,2006,,,
2011052308033,"Kerr, Philip",Lampeåndens barn,2006,,nob,2006,,,
2011052608038,"McCombie, Karen",Bare sol og glede?,2005,,nob,2005,,,
2011060108059,"Svingen, Arne",Bendik og monsteret går under jorden,2006,"barnebøker, lettlesingsbøker, monstre",nob,2006,,,
2011060108117,"Jacobsson, Anders",Berts ytterligere funderinger :,2005,,nob,2005,april-september [i.e. september-desember],,
2011060708070,"Smiley, Ben",Biler,cop. 2006,,nob,2006,,,
2011060708127,"Lucado, Max",Best av alle,2006,,nob,2006,,,
2011060808020,"Cantillon, Eli A.",8-boken min,c2006,"førskole, matematikk",nob,2006,,,
2011061608006,"Roeim, Jørn",Barnas store humorbok :,2007,"antologier, barn, gåter, humor, ordleker, vitser",nob,2007,"vitser, gåter, historier, ordleker",,
2011061708006,"Chapman, Keith",Ballets dronning,2007,,nob,2007,,,
2011061708058,"Sundvoll, Jon Georg",Barabbas,cop. 2007,,nob,2007,,,
2011061708112,"Ondracek, Claudia",3 gromme gårdshistorier,cop. 2006,,nob,2006,,,
2011061708114,"Zoschke, Barbara",3 brummende bilhistorier,cop. 2006,,nob,2006,,,
2011062108017,"Colfer, Eoin",Artemis Fowl :,2007,"alver, barnebøker, eventyrskikkelser, fantastisk, litteratur, ungdomsbøker",nob,2007,opal-bedraget,,
2011062108059,"Johansen, Sissel",Amalie og Julian,cop. 2007,,nob,2007,,,
2011062108071,"Lindh, Knut",Adolf Hitler :,2008,"andre, biografier, diktatorer, oppvekst, verdenskrigen",nob,2008,blod og ære,,
2011062108282,"Marenco, Susan",Bobs fantastiske plan,2007,,nob,2007,,,
2011062208058,"Grøver, Tone",Broren til Charlie C,2007,,nob,2007,,,
2011062208130,"Kerr, Philip",,2007,,nob,2007,,,
2011062208134,"Villard, Martin",Bilmerkeboken,2007,,nob,2007,,,
2011062308104,"Brugman, Alyssa",Bindys kaotiske verden,2007,,nob,2007,,,
2011062308134,"Lian, Torun",Adam den tredje i fjerde,2008,,nob,2008,,,
2011062308178,"Davidson, Susanna",Anne Frank,2007,"1939-1945, barnebøker, holocaust, jøder, konsentrasjonsleirer, lettlsesningsbøker, verdenskrigen",nob,2007,,,
2011062408047,"Campbell, Joanna",Ashleighs dagbok,2007,,nob,2007,,,
2011062408153,"Colfer, Eoin",Artemis Fowl :,2007,"alver, barnebøker, eventyrskikkelser, familien, fantastisk, kriminalitet, litteratur, ungdomsbøker",nob,2007,evighetskoden,,
2011062708039,"Kennen, Ally",Beist,2007,,nob,2007,,,
2011062708222,"Von Ziegesar, Cecily",Aldri lyve for deg :,2007,,nob,2007,en gossip girl roman,,
2011062808025,"Grimsrud, Beate",Alba og Adam,2008,"flyktninger, innvandrere, krig, vennskap",nob,2008,,,
2011070108066,"Hayes, Rosemary",Blodsbånd,2005,,nob,2005,,,
2011070108111,"Dahl, Roald",Charlie og sjokoladefabrikken,2005,barnelitteratur,nob,2005,,,
2011070508147,"McDonnell, Patrick",Arves farver,2007,"bildebok, biletbok, billedbøker, fargar, farger, kunst, tegnekunst",nob,2007,,,
2011070508177,"Morisse, Tor",Askeladden og risen som ikke hadde noe hjerte på seg,cop. 2007,tegneserie,nob,2007,,,
2011070608118,"Balkwill, Frances R.",Cellen :,2005,"biologi, celler",nob,2005,livets fabrikk,,
2011071108005,"Masannek, Joachim",Deniz lokomotivet,[2007?],,nob,2007,,,
2011071108057,"Bøgh Andersen, Kenneth",Djevelens læregutt,2007,"djevelen, helvete, mobbing",nob,2007,,,
2011071308078,"Ottesen, Josefine",Demonene hvisker,2007,"barn, dansk, fantasy, litteratur",nob,2007,,,
2011071406114,"Brashares, Ann",,2005,"familien, ungdomsbøker, vennskap",nob,2005,,En sommer og fire jenter,
2011072008134,"Somper, Justin",Dødens dyp,2007,,nob,2007,,,
2011072108029,"Ottesen, Josefine",Drage-herren,2005,"barnebok, fantasy, lettlest",nob,2005,,,
2011072208028,"Helland, Annette Saugestad",Bø!,[2006],"billedbøker, brøleaper, vennskap",nob,2006,,,
2011072208059,"Vikström-Jokela, Monica",Ellens annerledes chat,cop. 2006,"barnebøker, forelskelse, internett, skolemiljø",nob,2006,,,
2011072508034,"Nilsen, Ole-Mikal",Døden lyser blått,2005,"barnebøker, spenningslitteratur",nob,2005,,,
2011072608013,"Haugen, Tormod",Doris Day og tordnvær,2005,"barnebøker, dagligliv, ferie, fortellinger, trysil",nno,2005,,,
2011072906041,"Örtengren, Lisa",Ulv og jeg,2005,,nob,2005,,,
2011072906056,"Widmark, Martin",Kinomysteriet,2005,,nob,2005,,,
2011080108023,"Viermyr, Marianne",Bølla Britt og Rita Rapp,2006,"barnebøker, draker, lettlesingsbøker, mobbing, vennskap",nob,2006,,,
2011080108080,"Reinertsen, Tore",Dyrefamilien Snabel på eventyr,2005,,nob,2005,,,
2011080108109,"Carroll, Lewis",Alice i Eventyrland,2007,,nob,2007,,,
2011081106063,"Gravanes, Arne",Ida og Peter,2005,"aktiviteter, barnehage, barnehagen, begynneropplæring, begynneropplæringen, førskole, førskolen, matematikk, matte, oppgaver, småskolen, utendørs, utskole, øvelser",nob,2005,,,
2011081206033,"Svingen, Arne",Hubert blir ikke forelsket,2005,"barnebok, humor, lettlest",nob,2005,,,
2011081206125,"Höglund, Anna",Mina og Kåre,2005,"angst, billedbøker, forlatthet, følelser, sinne",nob,2005,,,
