,urn,year,title,publisher,group
0,2014031108251,1994,Ole Aleksander Filibom-bom-bom,Tiden,OA
1,2015070708013,1979,Ole Aleksander på farten,Tiden,OA
2,2010110906072,1955,Ole Aleksander får skjorte,Tiden,OA
3,2010070605087,1956,Ole Aleksander og bestemor til værs,Tiden,OA
4,2014111708080,1994,"Åtte små, to store og en lastebil",Tiden,M8
5,2015052808178,1982,Mormor og de åtte ungene i skogen,Bokklubbens barn,M8
6,2010070605105,1959,Marte og mormor og mormor og Morten,Tiden,M8
7,2008093000058,1999,liten takk fra Anton,Gyldendal Tiden,M8
8,2009041404081,1998,Mormor og de åtte ungene,"Gyldendal Tiden;Oslo : Gyldendal Tiden, cop. 1998",M8
9,2012091408165,1986,Mormor og de åtte ungene på sykkeltur i Danmark,Tiden,M8
10,2009021000094,1999,Morten og mormor og Stormvind,Gyldendal Tiden,M8
11,2015010808013,1990,Lillebror og Knerten,"Bokklubbens barn;[Stabekk] : Bokklubbens barn, 1990-1991",LK
12,2007050804047,1963,Trofaste Knerten,Tiden,LK
13,2013061708033,1964,Knerten gifter seg,Tiden,LK
14,2014013106097,1965,Knerten i Bessby,Tiden,LK
15,2008052804024,1973,Knerten og forundringspakken,Tiden,LK
16,2007071100044,1974,Knerten på sykkeltur,Tiden,LK
17,2010120820039,1999,Knerten detektiv og handelsreisende Lillebror,Bokklubbens barn,LK
18,2008103104089,2001,Knerten politimann,Gyldendal Tiden,LK
19,2014013106098,1989,Aurora i blokk Z,Tiden,AU
20,2011031005056,2000,Aurora og pappa,Gyldendal Tiden,AU
21,2015042306048,1993,Aurora og den vesle blå bilen ; Aurora og Sokrates,"Bokklubbens barn;[Stabekk] : Bokklubbens barn, 1993",AU
22,2009011200085,1997,Aurora i Holland,Gyldendal Tiden,AU
23,2007072301006,1971,Aurora på hurtigruten,Tiden,AU
24,2007072004008,1972,Aurora fra Fabelvik,Tiden,AU
25,2012121106015,1975,Guro,Tiden;Emil Moestue,GU
26,2007060104052,1976,Guro og nøkkerosene,Tiden,GU
27,2008102200042,2000,Guro alene hjemme,Gyldendal Tiden,GU
28,2007062101032,1978,Guro og fiolinen,Tiden,GU
29,2012111406308,1979,Guro og Lille-Bjørn,Tiden,GU
30,2007070501032,1980,Guro på Tirilltoppen,Tiden,GU
31,2007070500007,1981,Guro og Frydefoniorkesteret,Tiden,GU
32,2012092106162,1982,Kaos og Bjørnar,Tiden,KA
33,2013011806050,1983,Lilla Olaug og Lubben,Tiden,KA
34,2009042200010,1984,Kaosgutten i Vetleby og verden,Tiden,KA
35,2013102906120,1985,Kaos førskolegutt,Tiden,KA
36,2012091705071,1987,Kaos og hemmeligheten,Tiden,KA
37,2008062304037,1992,Ellen Andrea og mormor,Tiden,ES
38,2013100805023,1993,Forundringspakken og Lagertha rasebasse,Tiden,ES
39,2013100305183,1994,5 på reise,Tiden,ES
40,2010052003065,1995,Kostemarsj på Tirilltoppen,Tiden,ES
41,2010043003036,1996,Mormor og én til hos Rosa,Tiden,ES
42,2008102100068,2000,Småtassene og andre folk på Tirilltoppen,Gyldendal Tiden,ES
43,2011060106049,2002,Monrad tenker,Gyldendal Tiden,ES
44,2014081905070,2004,Monrad og mormor i den store klubben,Gyldendal,ES
