,0,1
0,kva,hva
1,kven,hvem
2,segsjølv,segselv
3,kvarandre,hverandre
4,noko,noe
5,noko,noe
6,ein,man
7,eg,jeg
8,ho,hun
9,prpers,den
10,den,den¹
11,de,dere
12,dei,de
13,hennar,hennes
14,dykkar,deres²
15,deira,deres¹
16,kvarandres,hverandres
17,nokonkvar,noenogenhver
18,kva,hvilken
19,kvaslags,hvilken
20,kvafor,hvilken
21,kvaforavdei,hvilken
22,forein,hvilken
23,kvafornokre,hvilken
24,ein,en
25,ein,en
26,ein,en
27,ein,en
28,ein,en
29,éin,én
30,éin,én
31,éin,én
32,éin,én
33,éin,én
34,desse,disse
35,såvoren,slik
36,sovoren,slik
37,dilik,slik
38,sånn,sådan
39,annan,annen
40,same,samme
41,førre,forrige
42,eitt,ett
43,mykje,meget
44,eigen,egen
45,eigen,egen
46,sjølv,selv
47,heile,hele
48,all,alleogenhver
49,all,samtlige
50,all,samtlige
51,kvar,hver
52,annankvar,annenhver
53,einellerannan,enellerannen
54,einkvan,enellerannen
55,einkvar,enhver
56,kvarogein,enhver
57,kvar,enhver
58,einkvar,enhver
59,all,enhver
60,restenav,deøvrige
61,restenavdei,deøvrige
62,einslags,enslags
63,båe,begge
64,somme,noe
65,noko,noe
66,kormange,hvormange
67,deifleste,defleste
68,halvannan,halvannen
69,tvo,to
70,tri,tre
71,sju,syv
72,tjue,tyve
73,tretti,tredve
74,søtti,sytti
75,eine,ene
76,sjølvom,selvom
77,jamvelom,selvom
78,nokosom,hvilket
79,noko,hvilket
80,som,hvilket
81,då,da
82,med,mens
83,sidan,siden
84,sidan,ettersom
85,viss,hvis
86,der,hvor
87,berre,bare
88,korleis,hvordan
89,anten,enten
90,korkje,hverken
91,verken,hverken
92,båe,både
93,ogdessutan,samt
94,ingaårsak,ingenårsak
95,minedamarogherrar,minedamerogherrer
96,godmorgon,godmorgen
97,versågod,værsågod
98,åt,til
99,atterover,akterover
100,atter,akter
101,atterut,akterut
102,attende,tilbake
103,attantil,bak
104,attatil,bak
105,åmellom,elvimellom
106,åsleies,langsåsen
107,skogleies,skauleies
108,bakleies,baklengs
109,bergemellom,bergimellom
110,attetter,baketter
111,attfor,bakfor
112,attgjennom,oppgjennom
113,attigjennom,oppigjennom
114,atti,baki
