
"

;; The original files now contained in this single file include, in addition
;; to the verb irregular, the following:
;; pl_def_f_subst.irreg
;; pl_def_m_subst.irreg
;; pl_def_n_subst.irreg
;; pl_ind_f_subst.irreg
;; pl_ind_m_subst.irreg
;; pl_ind_n_subst.irreg
;; sg_def_f_subst.irreg
;; sg_def_m_subst.irreg
;; sg_def_n_subst.irreg

;;;;;;;;;; Verbs ;;;;;;;;;;
sås pret-nonfstr_infl_rule ses
settes ppart-nonfstr_infl_rule ses

bydde pret-nonfstr_infl_rule byde
bød pret-nonfstr_infl_rule byde
budte pret-nonfstr_infl_rule byde
budt ppart-nonfstr_infl_rule byde
bydd ppart-nonfstr_infl_rule byde

fekk pret-finalstr_infl_rule få
fikk pret-finalstr_infl_rule få

ikledte pret-finalstr_infl_rule ikle
ikledde pret-finalstr_infl_rule ikle
ikledt ppart-finalstr-tt_infl_rule ikle
ikledd ppart-finalstr-dd_infl_rule ikle

bekledte pret-finalstr_infl_rule bekle
bekledde pret-finalstr_infl_rule bekle
bekledt ppart-finalstr-tt_infl_rule bekle
bekledd ppart-finalstr-dd_infl_rule bekle

forkledte pret-finalstr_infl_rule forkle
forkledde pret-finalstr_infl_rule forkle
forkledt ppart-finalstr-tt_infl_rule forkle
forkledd ppart-finalstr-dd_infl_rule forkle

;døde pret-finalstr-dd_infl_rule dø
døde pret-finalstr_infl_rule dø

dro pret-finalstr_infl_rule dra
drog pret-finalstr_infl_rule dra
dratt ppart-finalstr-tt_infl_rule dra

sverget pret-nonfstr_infl_rule sverge
svor pret-nonfstr_infl_rule sverge
sverget ppart-nonfstr_infl_rule sverje
svoret ppart-nonfstr_infl_rule sverje
sammensverget pret-nonfstr_infl_rule sammensverge
sammensvor pret-nonfstr_infl_rule sammensverge
sammensverget ppart-nonfstr_infl_rule sammensverje
sammensvoret ppart-nonfstr_infl_rule sammensverje




;; Troll v6

angrep pret-nonfstr_infl_rule angripe
avskrev pret-nonfstr_infl_rule avskrive
avvek pret-nonfstr_infl_rule avvike
bedrev pret-nonfstr_infl_rule bedrive
begrep pret-nonfstr_infl_rule begripe
beskrev pret-nonfstr_infl_rule beskrive
besteg pret-nonfstr_infl_rule bestige
grep pret-nonfstr_infl_rule gripe
